"","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"86655",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16473,NaN
"86657",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7065.34346314945
"86658",NaN,NaN,NaN,NaN,NaN,NaN,26525,NaN,NaN,NaN
"86663",49286.5981533101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86664",NaN,NaN,39325,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86665",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16473,NaN
"86672",NaN,NaN,NaN,NaN,NaN,NaN,26530.7307692308,NaN,NaN,NaN
"86675",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16473,NaN
"86676",NaN,NaN,NaN,NaN,NaN,NaN,26633,NaN,NaN,NaN
"86681",49343.1253231106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86682",49353.16,346639,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86685",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16473,NaN
"86688",NaN,346639,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86691",NaN,NaN,NaN,NaN,37263.6321070234,NaN,NaN,NaN,NaN,NaN
"86692",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16489.9938176198,NaN
"86698",NaN,NaN,NaN,NaN,37213,NaN,NaN,NaN,NaN,NaN
"86702",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16473,NaN
"86703",NaN,NaN,NaN,NaN,NaN,20651.7966804979,NaN,NaN,NaN,NaN
"86706",49316.3937077131,NaN,39334,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86711",NaN,346093.618705036,NaN,NaN,NaN,NaN,NaN,18239.4739336493,NaN,NaN
"86712",NaN,NaN,NaN,NaN,NaN,NaN,NaN,18250,16494.3596295113,NaN
"86718",NaN,NaN,NaN,NaN,37170,NaN,NaN,NaN,16485,NaN
"86719",NaN,NaN,NaN,NaN,37212.4510813594,NaN,NaN,NaN,NaN,NaN
"86721",NaN,NaN,NaN,NaN,37214,NaN,NaN,NaN,NaN,NaN
"86722",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16479.0941176471,NaN
"86724",NaN,345876.420765027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86725",NaN,346456,NaN,NaN,NaN,NaN,26597,NaN,16472,NaN
"86728",NaN,NaN,NaN,NaN,NaN,NaN,NaN,18265,16495,NaN
"86729",49370.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86732",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16466,NaN
"86737",NaN,NaN,NaN,NaN,37170,NaN,NaN,NaN,NaN,NaN
"86740",NaN,NaN,NaN,NaN,NaN,NaN,26599,NaN,16466,NaN
"86750",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16466,NaN
"86751",NaN,NaN,39375,NaN,37169,NaN,NaN,NaN,NaN,NaN
"86753",NaN,NaN,NaN,NaN,37200,NaN,NaN,NaN,NaN,NaN
"86755",NaN,NaN,NaN,NaN,NaN,NaN,26598,NaN,NaN,NaN
"86756",NaN,NaN,NaN,NaN,NaN,NaN,26562.658456486,NaN,NaN,NaN
"86757",NaN,NaN,NaN,NaN,NaN,NaN,26580.6666666667,NaN,NaN,NaN
"86760",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7054
"86761",NaN,NaN,NaN,32166,37164.3827751196,NaN,NaN,NaN,NaN,NaN
"86764",49350.4344043321,NaN,39364,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86766",NaN,NaN,NaN,NaN,37162,NaN,NaN,NaN,16466,7065.144
"86770",NaN,NaN,39336,NaN,37173,NaN,NaN,NaN,NaN,NaN
"86773",NaN,346111.245283019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7065
"86775",NaN,NaN,NaN,NaN,37138,NaN,NaN,NaN,NaN,NaN
"86777",NaN,NaN,39391.4301075269,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86779",49487.1289584208,345879.184397163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86780",NaN,345880,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7066.82661465106
"86781",NaN,NaN,NaN,NaN,37137,NaN,NaN,NaN,NaN,NaN
"86783",NaN,NaN,NaN,NaN,37136,NaN,NaN,NaN,16466,NaN
"86784",NaN,NaN,NaN,NaN,37120,NaN,26576.0835164835,NaN,NaN,7068.33333333333
"86790",NaN,NaN,NaN,NaN,37115,NaN,NaN,NaN,NaN,NaN
"86795",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16463.8565488565,NaN
"86797",NaN,NaN,NaN,NaN,37076,NaN,NaN,NaN,NaN,NaN
"86798",NaN,346299,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86802",NaN,NaN,NaN,NaN,NaN,NaN,26561.998989899,NaN,NaN,NaN
"86805",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16462,NaN
"86806",NaN,NaN,NaN,32202,NaN,NaN,NaN,NaN,NaN,NaN
"86815",NaN,NaN,NaN,NaN,37076,NaN,NaN,NaN,16462,NaN
"86823",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16459,NaN
"86824",NaN,NaN,NaN,NaN,NaN,NaN,26553.6582914573,NaN,NaN,NaN
"86825",NaN,NaN,NaN,NaN,37076,NaN,NaN,NaN,NaN,NaN
"86826",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7073.50557897347
"86829",NaN,346297.358641359,NaN,NaN,NaN,NaN,NaN,18263.5050946143,NaN,NaN
"86830",NaN,NaN,39392,32202,NaN,NaN,NaN,18265.3245778612,16459,NaN
"86832",NaN,NaN,NaN,NaN,NaN,NaN,NaN,18265,NaN,NaN
"86834",NaN,NaN,NaN,NaN,NaN,20626.0697836706,26550.5031390135,NaN,NaN,NaN
"86835",NaN,NaN,NaN,NaN,37076,NaN,26480.7562642369,NaN,NaN,NaN
"86837",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16459,NaN
"86841",NaN,NaN,NaN,NaN,NaN,NaN,NaN,18252.6597014925,NaN,NaN
"86843",49654.4844026846,NaN,NaN,NaN,NaN,NaN,NaN,18247.5807663411,NaN,NaN
"86845",NaN,346300.092035398,NaN,NaN,37076,NaN,NaN,NaN,NaN,NaN
"86847",NaN,NaN,NaN,NaN,NaN,20612.6460626588,26482.3994334278,NaN,16459,NaN
"86849",49626.14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7077
"86851",NaN,NaN,39350,NaN,37076,NaN,NaN,NaN,NaN,NaN
"86853",NaN,NaN,NaN,NaN,NaN,NaN,26460.96875,NaN,NaN,NaN
"86854",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16452.4461001902,NaN
"86855",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16449.2542932629,NaN
"86865",NaN,NaN,NaN,NaN,37076,NaN,NaN,NaN,16403,NaN
"86869",49587.5365899705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86870",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16403,NaN
"86874",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7067
"86875",49639.6987662338,NaN,NaN,NaN,37076,NaN,NaN,NaN,NaN,NaN
"86877",49686.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7061
"86878",NaN,346294,NaN,32197,NaN,20613,NaN,18242.3983488132,16406.7507788162,NaN
