"","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"86753",NaN,NaN,NaN,NaN,1561359985,NaN,NaN,NaN,NaN,NaN
"86755",NaN,NaN,NaN,NaN,NaN,NaN,1561359987,NaN,NaN,NaN
"86756",NaN,NaN,NaN,NaN,NaN,NaN,1561359988,NaN,NaN,NaN
"86757",NaN,NaN,NaN,NaN,NaN,NaN,1561359989,NaN,NaN,NaN
"86760",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359992
"86761",NaN,NaN,NaN,1561359993,1561359993,NaN,NaN,NaN,NaN,NaN
"86764",1561359996,NaN,1561359996,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86766",NaN,NaN,NaN,NaN,1561359998,NaN,NaN,NaN,1561359998,1561359998
"86770",NaN,NaN,1561360002,NaN,1561360002,NaN,NaN,NaN,NaN,NaN
"86773",NaN,1561360005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561360005
"86775",NaN,NaN,NaN,NaN,1561360007,NaN,NaN,NaN,NaN,NaN
"86777",NaN,NaN,1561360009,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86779",1561360011,1561360011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86780",NaN,1561360012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561360012
"86781",NaN,NaN,NaN,NaN,1561360013,NaN,NaN,NaN,NaN,NaN
"86783",NaN,NaN,NaN,NaN,1561360015,NaN,NaN,NaN,1561360015,NaN
"86784",NaN,NaN,NaN,NaN,1561360016,NaN,1561360016,NaN,NaN,1561360016
"86790",NaN,NaN,NaN,NaN,1561360022,NaN,NaN,NaN,NaN,NaN
"86795",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561360027,NaN
"86797",NaN,NaN,NaN,NaN,1561360029,NaN,NaN,NaN,NaN,NaN
"86798",NaN,1561360030,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86802",NaN,NaN,NaN,NaN,NaN,NaN,1561360034,NaN,NaN,NaN
"86805",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561360037,NaN
"86806",NaN,NaN,NaN,1561360038,NaN,NaN,NaN,NaN,NaN,NaN
"86815",NaN,NaN,NaN,NaN,1561360047,NaN,NaN,NaN,1561360047,NaN
"86823",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561360055,NaN
"86824",NaN,NaN,NaN,NaN,NaN,NaN,1561360056,NaN,NaN,NaN
"86825",NaN,NaN,NaN,NaN,1561360057,NaN,NaN,NaN,NaN,NaN
"86826",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561360058
"86829",NaN,1561360061,NaN,NaN,NaN,NaN,NaN,1561360061,NaN,NaN
"86830",NaN,NaN,1561360062,1561360062,NaN,NaN,NaN,1561360062,1561360062,NaN
"86832",NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561360064,NaN,NaN
"86834",NaN,NaN,NaN,NaN,NaN,1561360066,1561360066,NaN,NaN,NaN
"86835",NaN,NaN,NaN,NaN,1561360067,NaN,1561360067,NaN,NaN,NaN
"86837",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561360069,NaN
"86841",NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561360073,NaN,NaN
"86843",1561360075,NaN,NaN,NaN,NaN,NaN,NaN,1561360075,NaN,NaN
"86845",NaN,1561360077,NaN,NaN,1561360077,NaN,NaN,NaN,NaN,NaN
"86847",NaN,NaN,NaN,NaN,NaN,1561360079,1561360079,NaN,1561360079,NaN
"86849",1561360081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561360081
"86851",NaN,NaN,1561360083,NaN,1561360083,NaN,NaN,NaN,NaN,NaN
"86853",NaN,NaN,NaN,NaN,NaN,NaN,1561360085,NaN,NaN,NaN
"86854",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561360086,NaN
"86855",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561360087,NaN
"86865",NaN,NaN,NaN,NaN,1561360097,NaN,NaN,NaN,1561360097,NaN
"86869",1561360101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86870",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561360102,NaN
"86874",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561360106
"86875",1561360107,NaN,NaN,NaN,1561360107,NaN,NaN,NaN,NaN,NaN
"86877",1561360109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561360109
"86878",NaN,1561360110,NaN,1561360110,NaN,1561360110,NaN,1561360110,1561360110,NaN
"86879",1561360111,1561360111,NaN,NaN,1561360111,NaN,1561360111,NaN,1561360111,1561360111
"86883",1561360115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86885",1561360117,NaN,1561360117,NaN,NaN,NaN,NaN,1561360117,NaN,NaN
"86886",NaN,1561360118,NaN,1561360118,1561360118,1561360118,1561360118,NaN,1561360118,1561360118
"86887",NaN,NaN,NaN,1561360119,NaN,NaN,NaN,NaN,NaN,NaN
"86889",NaN,1561360121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86890",NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561360122,1561360122,NaN
"86892",NaN,1561360124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86893",NaN,NaN,NaN,NaN,1561360125,NaN,NaN,NaN,NaN,NaN
"86900",1561360132,1561360132,1561360132,NaN,1561360132,1561360132,1561360132,1561360132,1561360132,1561360132
"86901",NaN,1561360133,NaN,NaN,1561360133,NaN,NaN,1561360133,1561360133,NaN
"86902",NaN,1561360134,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86906",NaN,1561360138,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86909",1561360141,1561360141,1561360141,1561360141,1561360141,1561360141,1561360141,1561360141,1561360141,1561360141
"86910",1561360142,1561360142,1561360142,NaN,1561360142,1561360142,1561360142,1561360142,1561360142,1561360142
"86911",1561360143,1561360143,NaN,1561360143,1561360143,1561360143,1561360143,1561360143,1561360143,NaN
"86913",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561360145
"86914",NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561360146,NaN,NaN
"86915",1561360147,NaN,NaN,NaN,1561360147,NaN,NaN,NaN,NaN,NaN
"86916",NaN,NaN,1561360148,NaN,NaN,NaN,NaN,1561360148,NaN,NaN
"86918",NaN,1561360150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86921",NaN,NaN,NaN,NaN,1561360153,NaN,NaN,NaN,NaN,NaN
"86924",NaN,NaN,1561360156,NaN,NaN,NaN,NaN,NaN,NaN,1561360156
"86931",NaN,1561360163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86932",NaN,NaN,NaN,NaN,1561360164,NaN,NaN,NaN,NaN,NaN
